['99', '222', '378', '183', '657', '118', '11']
['92', '591', '254', '303', '165', '656', '275']
['919', '274', '136', '547', '272', '135', '543']
['918', '270', '134', '269', '133', '15', '264']
['917', '710', '401', '271', '70', '262', '130']
['916', '800', '709', '596', '164', '121', '261']
['915', '832', '781', '752', '604', '462', '260']
['914', '380', '129', '519', '258', '128', '257']
['913', '841', '799', '771', '667', '256', '127']
['912', '704', '700', '621', '131', '100', '125']
['911', '762', '644', '580', '219', '42', '251']
['910', '585', '428', '175', '82', '503', '249']
['91', '463', '220', '393', '678', '579', '248']
['909', '767', '560', '537', '265', '41', '120']
['908', '1', '122', '244', '243', '240', '119']
['907', '670', '565', '483', '425', '247', '479']
['906', '230', '117', '109', '231', '27', '229']
['905', '718', '498', '406', '179', '149', '226']
['904', '834', '714', '506', '444', '344', '455']
['903', '809', '412', '411', '31', '449', '225']
['902', '796', '730', '602', '546', '280', '224']
['901', '845', '792', '607', '474', '311', '223']
['900', '648', '291', '181', '157', '141', '12']
['90', '798', '524', '601', '177', '62', '110']
['9', '217', '421', '215', '212', '427', '25']
['899', '785', '633', '611', '458', '113', '208']
['898', '810', '647', '552', '195', '13', '209']
['897', '786', '489', '451', '296', '60', '207']
['896', '292', '836', '414', '413', '825', '824']
['895', '761', '535', '255', '216', '18', '410']
['894', '816', '523', '436', '278', '52', '820']
['893', '49', '804', '801', '5', '793', '394']
['892', '586', '571', '551', '386', '33', '47']
['891', '107', '777', '768', '381', '756', '753']
['890', '45', '744', '4', '461', '362', '720']
['89', '622', '290', '359', '649', '658', '43']
['889', '14']
['888', '789', '637', '515', '145', '28', '713']
['887', '354', '708', '697', '696', '692', '689']
['886', '811', '805', '609', '328', '218', '688']
['885', '683', '676', '673', '40', '668', '39']
['884', '643', '614', '516', '252', '103', '645']
['883', '641', '635', '628', '37', '617', '613']
['882', '608', '592', '588', '584', '581', '34']
['881', '815', '791', '776', '480', '446', '132']
['880', '564', '561', '544', '32', '540', '536']
['88', '239', '213', '739', '322', '73', '529']
['879', '521', '520', '517', '512', '30', '250']
['878', '569', '548', '456', '330', '206', '500']
['877', '497', '246', '488', '476', '473', '472']
['876', '234', '468', '459', '457', '452', '448']
['875', '447', '445', '439', '431', '430', '424']
['874', '419', '422', '821', '818', '812', '802']
['873', '844', '434', '392', '351', '114', '794']
['872', '749', '395', '285', '102', '151']
['871', '174']
['870', '773', '770', '46', '746', '741', '725']
['87', '738', '600', '485', '563', '68', '706']
['869', '681', '675', '664', '460', '418', '698']
['868', '731', '475', '467', '364', '178', '677']
['867', '674', '646', '642', '634', '610', '605']
['866', '578', '408', '355', '340', '44', '594']
['865', '817', '778', '693', '553', '282', '626']
['864', '716', '679', '499', '111', '80', '582']
['863', '573', '554', '550', '541', '533', '530']
['862', '7', '525', '522', '514', '508', '493']
['861', '383']
['860', '490', '482', '477', '454', '450', '442']
['86', '435', '831', '827', '822', '758', '742']
['859', '21', '732', '717', '694', '685', '606']
['858', '558', '509', '502', '478', '53', '840']
['857', '769', '420', '50', '24', '0', '828']
['856', '598']
['855', '814', '797', '782', '701', '686', '81']
['854', '779', '721', '504', '350', '78', '638']
['853', '823', '661', '415', '202', '67', '79']
['852', '835', '539', '437', '347', '214', '76']
['851', '69', '65', '64', '510', '57', '56']
['850', '788', '787', '373', '306', '210', '829']
['85', '765', '734', '702', '77', '74', '58']
['849', '837', '806', '690', '572', '453', '695']
['848', '842', '766', '843', '8', '84']
['847', '826']
['846', '590', '329', '273', '267', '190']
