['19', '111', '116', '180', '243', '273', '283', '324', '384', '560']
['161', '185', '375', '704', '749', '758', '830', '840', '844', '896']
['49', '117', '244', '380', '398', '468', '477', '499', '543', '651']
['16', '60', '351', '381', '552', '614', '869', '888', '939', '955']
['168', '216', '434', '562', '591', '606', '650', '695', '763', '843']
['67', '108', '127', '138', '140', '313', '395', '405', '432', '810']
['39', '45', '172', '210', '219', '401', '602', '668', '715', '743']
['43', '61', '154', '188', '213', '524', '528', '573', '707', '765']
['90', '165', '173', '230', '262', '540', '786', '814', '819', '860']
['25', '298', '362', '464', '498', '665', '728', '745', '841', '904']
['15', '133', '137', '141', '241', '294', '379', '554', '778', '910']
['256', '346', '358', '544', '557', '628', '638', '760', '802', '847']
['128', '215', '321', '649', '787', '812', '849', '937', '938', '942']
['54', '200', '444', '753', '825', '862', '921', '923', '963', '972']
['55', '225', '478', '530', '588', '601', '648', '733', '790', '875']
['63', '507', '513', '548', '667', '710', '797', '877', '952', '954']
['171', '181', '465', '584', '585', '623', '783', '866', '905', '914']
['1', '103', '286', '287', '344', '352', '391', '428', '526', '708']
['38', '75', '235', '318', '546', '558', '568', '637', '682', '865']
['146', '178', '245', '264', '692', '850', '854', '876', '926', '970']
['28', '92', '102', '122', '145', '356', '415', '516', '520', '523']
['93', '183', '228', '383', '387', '549', '551', '581', '716', '781']
['289', '323', '487', '579', '677', '775', '872', '882', '915', '935']
['301', '319', '414', '496', '504', '533', '545', '800', '913', '932']
['48', '57', '233', '297', '302', '412', '633', '634', '636', '666']
['123', '397', '453', '622', '730', '731', '892', '948', '985', '986']
['74', '96', '295', '474', '547', '589', '878', '953', '969', '984']
['27', '50', '121', '260', '322', '338', '353', '363', '382', '392']
['479', '586', '615', '698', '880', '977', '978', '981', '992', '994']
['114', '207', '248', '576', '795', '831', '848', '897', '945', '964']
['80', '89', '153', '174', '422', '610', '627', '680', '803', '805']
['6', '240', '314', '431', '583', '744', '798', '835', '855', '933']
['511', '686', '746', '967', '982', '987', '995', '997', '998', '999']
['86', '190', '192', '438', '462', '522', '594', '642', '659', '687']
['20', '101', '329', '433', '449', '808', '809', '833', '885', '912']
['65', '255', '350', '424', '429', '439', '458', '541', '694', '792']
['35', '222', '263', '450', '572', '580', '726', '818', '857', '927']
['149', '206', '609', '681', '725', '919', '920', '973', '975', '980']
['47', '104', '155', '354', '497', '766', '768', '796', '889', '891']
['31', '221', '246', '349', '403', '410', '525', '556', '621', '767']
['76', '100', '115', '130', '131', '177', '184', '217', '231', '274']
['7', '220', '223', '288', '311', '341', '402', '419', '435', '598']
['281', '315', '348', '517', '519', '603', '611', '613', '653', '822']
