['752', '427', '349', '360', '651', '740', '255', '559', '7', '289']
['504', '940', '244', '519', '332', '920', '261', '534', '935', '204']
['20', '996', '173', '279', '799', '939', '958', '299', '277', '857']
['493', '131', '478', '71', '701', '345', '496', '913', '264', '948']
['638', '696', '488', '577', '847', '838', '133', '494', '860', '783']
['694', '894', '395', '389', '917', '875', '529', '751', '390', '421']
['201', '13', '115', '698', '25', '581', '712', '753', '431', '591']
['562', '580', '837', '124', '641', '937', '226', '780', '273', '889']
['628', '975', '652', '912', '225', '699', '445', '183', '12', '290']
['0', '805', '827', '175', '218', '650', '388', '764', '419', '789']
['677', '745', '565', '215', '22', '3', '574', '812', '168', '543']
['160', '656', '719', '526', '654', '153', '127', '775', '362', '852']
['575', '738', '627', '325', '517', '722', '876', '140', '164', '364']
['499', '321', '397', '841', '260', '914', '428', '582', '523', '439']
['78', '655', '614', '772', '505', '865', '420', '931', '64', '107']
['635', '192', '129', '982', '191', '68', '275', '911', '347', '120']
['400', '55', '61', '134', '684', '288', '936', '823', '697', '564']
['619', '744', '874', '98', '790', '86', '515', '786', '375', '929']
['66', '868', '951', '471', '507', '381', '983', '90', '33', '342']
['522', '643', '354', '549', '234', '474', '689', '394', '444', '384']
['571', '418', '483', '21', '409', '513', '959', '897', '988', '464']
['406', '514', '14', '994', '730', '759', '205', '695', '980', '62']
['979', '159', '818', '987', '486', '836', '663', '545', '821', '454']
['503', '872', '2', '647', '117', '462', '319', '819', '919', '95']
['230', '101', '130', '672', '198', '972', '291', '990', '229', '537']
['886', '169', '511', '337', '294', '245', '953', '29', '610', '700']
['465', '921', '867', '882', '613', '892', '228', '128', '964', '589']
