['G1', 'G0', 'G2']
['B95', 'F94', 'H94']
['F95', 'B96', 'H95']
['H96', 'B97', 'F96']
['F97', 'B98', 'H97']
['F98', 'H98', 'B99']
['B100', 'F99', 'H99']
['H100', 'B101', 'F100']
['F101', 'H101', 'B102']
['F102', 'H102', 'B103']
['F103', 'B104', 'H103']
['B105', 'H104', 'F104']
['H105', 'B106', 'F105']
['B107', 'H106', 'F106']
['B108', 'H107', 'F107']
['F108', 'H108', 'B109']
['F109', 'B110', 'H109']
['F110', 'H110', 'B111']
['B112', 'H111', 'F111']
['F112', 'B113', 'H112']
['B114', 'H113', 'F113']
['B115', 'F114', 'H114']
['H115', 'C0', 'F115']
['C2', 'C1', 'C3']
['C5', 'C6', 'C4']
['C8', 'C7', 'C9']
['C12', 'C10', 'C11']
['C15', 'C13', 'C14']
['C17', 'C18', 'C16']
['C21', 'C19', 'C20']
['C24', 'C23', 'C22']
['C27', 'C26', 'C25']
['C28', 'C30', 'C29']
['C31', 'C32', 'C33']
['C35', 'C36', 'C34']
['C39', 'C38', 'C37']
['C40', 'C41', 'C42']
['C45', 'C43', 'C44']
['C46', 'C47', 'C48']
['C49', 'C51', 'C50']
['C54', 'C53', 'C52']
['C57', 'C55', 'C56']
['C59', 'C58', 'C60']
['C61', 'C63', 'C62']
['C66', 'C64', 'C65']
['C68', 'C67', 'C69']
['C71', 'C70', 'C72']
['C75', 'C74', 'C73']
['C76', 'C78', 'C77']
['C81', 'C79', 'C80']
['C82', 'C84', 'C83']
['C85', 'C86', 'C87']
['C90', 'C88', 'C89']
['C92', 'C91', 'C93']
['C96', 'C94', 'C95']
['C98', 'C99', 'C97']
['C101', 'C102', 'C100']
['C105', 'C104', 'C103']
['C107', 'C106', 'C108']
['C111', 'C109', 'C110']
['C113', 'C114', 'C112']
['C115', 'D0', 'A0']
['E0', 'D1', 'A1']
['A2', 'D2', 'E1']
['D3', 'E2', 'A3']
['A4', 'E3', 'D4']
['E4', 'D5', 'A5']
['D6', 'A6', 'E5']
['A7', 'D7', 'E6']
['A8', 'D8', 'E7']
['E8', 'D9', 'A9']
['D10', 'E9', 'A10']
['D11', 'A11', 'E10']
['E11', 'D12', 'A12']
['D13', 'A13', 'E12']
['E13', 'D14', 'A14']
['D15', 'E14', 'A15']
['A16', 'D16', 'E15']
['A17', 'E16', 'D17']
['A18', 'E17', 'D18']
['D19', 'A19', 'E18']
['E19', 'A20', 'D20']
['D21', 'A21', 'E20']
['E21', 'D22', 'A22']
['E22', 'D23', 'A23']
['D24', 'A24', 'E23']
['E24', 'D25', 'A25']
['E25', 'A26', 'D26']
['E26', 'D27', 'A27']
['D28', 'A28', 'E27']
['D29', 'E28', 'A29']
['E29', 'A30', 'D30']
['D31', 'E30', 'A31']
['D32', 'A32', 'E31']
['E32', 'A33', 'D33']
['E33', 'D34', 'A34']
['D35', 'E34', 'A35']
['E35', 'A36', 'D36']
['D37', 'E36', 'A37']
['A38', 'E37', 'D38']
['E38', 'D39', 'A39']
['D40', 'E39', 'A40']
['E40', 'A41', 'D41']
['A42', 'E41', 'D42']
['D43', 'A43', 'E42']
['E43', 'A44', 'D44']
['D45', 'E44', 'A45']
['D46', 'E45', 'A46']
['D47', 'A47', 'E46']
['E47', 'A48', 'D48']
['D49', 'A49', 'E48']
['D50', 'A50', 'E49']
['A51', 'E50', 'D51']
['E51', 'D52', 'A52']
['D53', 'E52', 'A53']
['D54', 'A54', 'E53']
['D55', 'E54', 'A55']
['E55', 'A56', 'D56']
['A57', 'D57', 'E56']
['D58', 'A58', 'E57']
['E58', 'A59', 'D59']
['A60', 'E59', 'D60']
['A61', 'E60', 'D61']
['A62', 'D62', 'E61']
['E62', 'D63', 'A63']
['E63', 'D64', 'A64']
['A65', 'D65', 'E64']
['E65', 'A66', 'D66']
['E66', 'D67', 'A67']
['A68', 'E67', 'D68']
['E68', 'A69', 'D69']
['E69', 'A70', 'D70']
['A71', 'D71', 'E70']
['E71', 'A72', 'D72']
['E72', 'A73', 'D73']
['A74', 'E73', 'D74']
['A75', 'D75', 'E74']
['E75', 'D76', 'A76']
['E76', 'D77', 'A77']
['E77', 'D78', 'A78']
['A79', 'D79', 'E78']
['A80', 'E79', 'D80']
['D81', 'A81', 'E80']
['E81', 'D82', 'A82']
['D83', 'A83', 'E82']
['E83', 'D84', 'A84']
['D85', 'E84', 'A85']
['E85', 'D86', 'A86']
['A87', 'E86', 'D87']
['D88', 'A88', 'E87']
['D89', 'A89', 'E88']
['A90', 'E89', 'D90']
['A91', 'E90', 'D91']
['A92', 'E91', 'D92']
['A93', 'D93', 'E92']
['A94', 'D94', 'E93']
['A95', 'D95', 'E94']
['A96', 'E95', 'D96']
['D97', 'A97', 'E96']
['A98', 'D98', 'E97']
['A99', 'D99', 'E98']
['D100', 'A100', 'E99']
['E100', 'A101', 'D101']
['E101', 'A102', 'D102']
['D103', 'A103', 'E102']
['E103', 'A104', 'D104']
['E104', 'A105', 'D105']
['A106', 'D106', 'E105']
['E106', 'D107', 'A107']
['A108', 'E107', 'D108']
['A109', 'D109', 'E108']
['D110', 'E109', 'A110']
['D111', 'A111', 'E110']
['A112', 'E111', 'D112']
['E112', 'A113', 'D113']
['D114', 'A114', 'E113']
['D115', 'A115', 'E114']
['49', 'E115', '1']
['50', '2', '27']
['3', '51', '28']
['4', '52', '29']
['5', '30', '53']
['54', '6', '31']
['32', '55', '7']
['33', '56', '8']
['9', '57', '34']
['10', '58', '35']
['11', '59', '36']
['37', '12', '60']
['38', '13', '61']
['39', '14', '62']
['40', '63', '15']
['64', '41', '16']
['42', '65', '17']
['18', '66', '43']
['44', '19', '67']
['68', '45', '20']
['46', '21', '69']
['47', '70', '22']
['0', '23', '71']
['48', '24']
['26', '25']
