['59', '991', '979', '523', '968', '781', '725', '514', '887', '27', '265', '736', '43', '65', '306', '268', '399', '361', '829', '944']
['932', '889', '881', '855', '117', '849', '61', '851', '875', '842', '922', '942', '92', '167', '183', '100', '76', '88', '10', '871']
['417', '323', '210', '348', '380', '388', '295', '460', '315', '270', '421', '426', '237', '303', '459', '214', '284', '278', '385', '456']
['694', '636', '543', '637', '491', '665', '681', '731', '554', '740', '670', '587', '805', '521', '547', '633', '467', '656', '486', '717']
['972', '867', '997', '62', '5', '955', '974', '905', '885', '811', '816', '826', '835', '814', '926', '880', '8', '30', '827', '988']
['668', '619', '630', '350', '649', '484', '593', '170', '224', '119', '285', '692', '318', '368', '455', '416', '607', '217', '542', '420']
['879', '729', '772', '757', '25', '34', '980', '830', '815', '982', '800', '758', '710', '597', '923', '767', '882', '40', '29', '794']
['254', '205', '360', '172', '228', '142', '151', '251', '261', '310', '108', '273', '320', '292', '298', '63', '77', '313', '219', '209']
['394', '661', '773', '524', '650', '704', '701', '674', '714', '709', '631', '574', '796', '567', '429', '415', '501', '432', '726', '763']
['877', '852', '797', '836', '75', '901', '72', '58', '844', '96', '4', '848', '888', '69', '85', '1', '897', '9', '810', '101']
['389', '120', '107', '376', '402', '280', '200', '335', '130', '272', '162', '202', '250', '240', '156', '191', '293', '124', '305', '263']
['532', '645', '583', '481', '707', '519', '546', '643', '720', '716', '657', '496', '621', '236', '533', '606', '513', '424', '594', '118']
['976', '721', '127', '24', '798', '850', '132', '956', '728', '936', '967', '909', '6', '834', '133', '965', '122', '160', '123', '971']
['248', '451', '375', '352', '410', '476', '452', '381', '274', '371', '383', '409', '465', '212', '161', '239', '425', '185', '398', '338']
['861', '503', '762', '550', '693', '857', '719', '613', '786', '178', '732', '673', '566', '780', '604', '818', '502', '588', '708', '705']
['227', '895', '975', '233', '964', '112', '137', '138', '873', '995', '940', '949', '203', '13', '898', '195', '961', '51', '111', '998']
['282', '296', '374', '422', '436', '339', '386', '516', '397', '249', '552', '565', '617', '291', '539', '553', '333', '616', '317', '464']
['868', '776', '67', '242', '12', '110', '685', '46', '730', '86', '126', '238', '912', '641', '37', '755', '121', '145', '927', '658']
['883', '316', '662', '571', '406', '738', '522', '495', '869', '286', '652', '573', '490', '244', '809', '845', '510', '838', '833', '337']
['582', '50', '277', '450', '441', '449', '324', '413', '221', '568', '168', '201', '904', '225', '21', '341', '925', '627', '260', '377']
['586', '706', '919', '216', '611', '841', '592', '159', '902', '969', '756', '158', '903', '169', '928', '28', '32', '628', '651', '687']
['570', '777', '468', '526', '334', '487', '442', '569', '525', '258', '622', '790', '382', '667', '602', '408', '245', '345', '255', '683']
['401', '378', '0', '38', '213', '507', '506', '983', '874', '99', '558', '474', '886', '301', '332', '564', '419', '837', '943', '84']
['152', '761', '843', '690', '56', '718', '894', '623', '614', '45', '806', '884', '70', '953', '190', '807', '174', '114', '941', '915']
['948', '407', '624', '575', '493', '808', '336', '492', '520', '562', '580', '354', '283', '433', '509', '231', '696', '241', '353', '659']
['392', '479', '748', '859', '724', '576', '577', '458', '642', '356', '367', '405', '559', '136', '309', '846', '512', '977', '23', '938']
['987', '257', '140', '302', '747', '322', '804', '148', '47', '262', '669', '103', '358', '226', '765', '984', '311', '654', '7', '764']
['821', '79', '35', '403', '918', '15', '966', '733', '561', '784', '18', '584', '537', '913', '618', '531', '626', '489', '952', '981']
['447', '93', '304', '500', '760', '471', '373', '743', '81', '187', '129', '511', '672', '609', '787', '189', '150', '734', '143', '349']
['243', '544', '434', '557', '256', '994', '854', '620', '300', '400', '536', '950', '963', '175', '824', '986', '444', '2', '638', '246']
['196', '478', '937', '632', '960', '579', '545', '876', '530', '600', '647', '480', '548', '822', '930', '831', '996', '372', '992', '411']
['299', '446', '430', '803', '90', '899', '735', '22', '53', '234', '677', '391', '957', '166', '541', '54', '198', '431', '527', '330']
