['420', '573', '574', '885', '942']
['45', '85', '381', '618', '961']
['255', '259', '419', '613', '801']
['449', '452', '595', '855', '921']
['188', '519', '599', '778', '823']
['92', '234', '713', '842', '944']
['212', '258', '424', '650', '973']
['20', '282', '390', '732', '876']
['73', '346', '416', '428', '938']
['28', '80', '269', '360', '655']
['450', '502', '527', '822', '954']
['54', '132', '243', '488', '744']
['348', '512', '783', '857', '767']
['236', '365', '367', '454', '933']
['283', '413', '640', '947', '932']
['305', '309', '432', '596', '654']
['298', '578', '657', '975', '988']
['198', '291', '303', '601', '810']
['96', '204', '256', '292', '950']
['342', '508', '675', '761', '976']
['112', '433', '539', '847', '652']
['178', '517', '653', '659', '920']
['199', '426', '547', '863', '864']
['98', '136', '213', '230', '860']
['51', '115', '222', '224', '379']
['4', '59', '99', '208', '643']
['221', '252', '448', '743', '946']
['111', '300', '412', '590', '781']
['138', '210', '216', '667', '872']
['293', '850', '854', '915', '919']
['50', '52', '387', '429', '814']
['35', '181', '414', '538', '597']
['172', '173', '284', '577', '785']
['157', '159', '301', '569', '949']
['280', '281', '550', '698', '805']
['306', '656', '756', '817', '891']
['121', '158', '215', '334', '557']
['202', '235', '469', '490', '930']
['316', '431', '739', '865', '894']
['153', '356', '439', '612', '892']
['225', '719', '764', '820', '902']
['142', '226', '709', '736', '793']
['131', '470', '711', '951', '986']
['351', '456', '457', '694', '762']
['277', '385', '623', '904', '971']
['34', '75', '251', '415', '907']
['7', '68', '107', '544', '792']
['38', '196', '477', '511', '840']
['6', '9', '71', '285', '763']
['43', '151', '407', '585', '995']
['148', '589', '724', '998', '999']
['197', '680', '683', '940', '808']
['5', '126', '276', '798', '968']
['114', '203', '344', '406', '586']
['274', '330', '748', '776', '965']
['41', '195', '219', '685', '945']
['13', '66', '537', '598', '614']
['179', '357', '358', '472', '771']
['322', '602', '622', '660', '765']
['29', '369', '513', '568', '624']
['10', '307', '427', '635', '690']
['245', '340', '388', '791', '825']
['18', '534', '645', '733', '839']
['90', '93', '139', '363', '536']
['58', '175', '272', '609', '621']
['260', '310', '483', '504', '706']
['103', '247', '647', '648', '676']
['102', '214', '278', '279', '760']
['218', '318', '611', '836', '934']
['64', '317', '453', '474', '634']
['140', '174', '262', '321', '958']
['15', '455', '707', '980', '984']
['23', '48', '94', '319', '646']
['435', '451', '746', '782', '924']
['183', '194', '266', '745', '821']
['8', '11', '693', '786', '838']
['17', '187', '241', '355', '937']
['19', '129', '143', '191', '679']
['302', '304', '312', '559', '700']
['141', '147', '354', '912', '987']
['101', '249', '400', '503', '844']
['257', '271', '401', '523', '862']
['36', '40', '359', '747', '952']
['343', '423', '466', '500', '501']
['37', '246', '263', '670', '697']
['607', '608', '716', '766', '914']
['42', '209', '308', '725', '979']
['542', '543', '606', '692', '871']
['239', '496', '717', '867', '868']
['31', '106', '704', '889', '969']
['189', '362', '672', '770', '917']
['97', '528', '658', '841', '926']
['70', '134', '223', '649', '712']
['89', '353', '913', '981', '983']
['741', '787', '925', '939', '966']
['69', '144', '201', '813', '829']
['88', '165', '264', '408', '467']
['46', '267', '509', '665', '846']
['27', '104', '125', '703', '749']
['26', '61', '81', '540', '651']
['1', '581', '687', '718', '909']
['130', '315', '411', '948', '936']
['83', '207', '475', '957', '959']
['205', '518', '605', '911', '967']
['273', '486', '695', '699', '816']
['110', '560', '759', '843', '875']
['74', '375', '403', '591', '731']
['374', '479', '727', '755', '811']
['53', '60', '287', '525', '978']
['476', '505', '615', '681', '757']
['79', '162', '268', '545', '625']
['100', '265', '730', '753', '878']
['72', '220', '370', '708', '861']
['186', '465', '520', '563', '593']
['437', '495', '514', '696', '837']
['63', '446', '729', '772', '779']
['12', '349', '604', '955', '956']
['156', '237', '441', '583', '740']
['248', '352', '484', '588', '972']
['350', '430', '564', '584', '789']
['30', '109', '777', '809', '750']
['294', '580', '587', '742', '848']
['76', '384', '689', '849', '874']
['371', '422', '462', '715', '964']
['171', '323', '494', '530', '982']
['122', '395', '396', '397', '398']
['105', '835', '896', '908', '960']
['82', '382', '383', '533', '784']
['95', '228', '320', '497', '531']
['47', '117', '145', '149', '641']
['128', '227', '499', '554', '790']
['242', '296', '551', '567', '674']
['56', '594', '603', '671', '927']
['124', '392', '434', '458', '879']
['364', '399', '459', '510', '754']
['192', '193', '800', '869', '877']
['77', '549', '592', '633', '752']
['492', '532', '556', '637', '802']
['123', '378', '688', '866', '893']
