['842', '757', '25', '929', '833']
['146', '198', '12', '977', '37']
['163', '785', '95', '691', '193']
['703', '547', '206', '343', '216']
['224', '379', '980', '984', '875']
['190', '68', '745', '476', '52']
['279', '404', '735', '331', '155']
['342', '276', '104', '164', '86']
['309', '721', '879', '701', '955']
['130', '188', '484', '67', '802']
['707', '488', '558', '661', '368']
['184', '979', '380', '199', '84']
['101', '351', '848', '670', '864']
['120', '669', '234', '210', '425']
['352', '608', '252', '870', '344']
['890', '152', '10', '92', '510']
['897', '908', '557', '183', '385']
['305', '192', '550', '242', '458']
['112', '514', '835', '178', '794']
['504', '688', '562', '673', '362']
['914', '683', '836', '117', '505']
['39', '367', '847', '63', '926']
['641', '294', '762', '156', '597']
['549', '780', '880', '746', '334']
['726', '766', '869', '749', '240']
['651', '15', '903', '159', '809']
['397', '537', '340', '687', '538']
['427', '793', '776', '826', '377']
['153', '631', '797', '800', '124']
['182', '96', '627', '722', '521']
['998', '11', '553', '211', '98']
['118', '541', '729', '181', '789']
['830', '74', '855', '599', '32']
['816', '542', '358', '846', '586']
['715', '866', '931', '480', '28']
['208', '201', '14', '806', '338']
['203', '290', '959', '303', '796']
['469', '606', '834', '850', '832']
['456', '770', '974', '140', '177']
['685', '678', '623', '411', '615']
['854', '933', '141', '197', '462']
['172', '700', '23', '539', '260']
['576', '906', '443', '774', '838']
['555', '378', '531', '630', '666']
['640', '819', '957', '522', '151']
['387', '481', '923', '356', '526']
['266', '265', '690', '6', '69']
['713', '81', '302', '149', '760']
['348', '665', '439', '310', '62']
['390', '871', '483', '994', '76']
['317', '226', '671', '472', '433']
['115', '127', '552', '70', '3']
['790', '636', '732', '525', '134']
['137', '132', '654', '459', '79']
['405', '694', '93', '311', '465']
['887', '828', '222', '376', '677']
['624', '868', '126', '622', '878']
['116', '601', '724', '604', '901']
['961', '633', '852', '990', '83']
['213', '239', '87', '123', '598']
['392', '282', '733', '285', '719']
['157', '364', '332', '750', '284']
['986', '905', '643', '269', '937']
['13', '261', '602', '133', '763']
['256', '893', '936', '568', '21']
['693', '436', '609', '532', '503']
['702', '169', '709', '520', '668']
['755', '320', '373', '426', '603']
['283', '471', '840', '877', '536']
['698', '113', '585', '982', '777']
['275', '135', '111', '783', '246']
['357', '565', '349', '942', '467']
['533', '194', '837', '329', '899']
['567', '530', '298', '773', '900']
['328', '952', '300', '813', '99']
['578', '447', '453', '919', '255']
['737', '466', '714', '354', '247']
['865', '554', '204', '142', '333']
['927', '495', '795', '202', '708']
['747', '166', '248', '45', '270']
['616', '470', '772', '58', '57']
['684', '637', '46', '528', '286']
['546', '145', '860', '589', '228']
['429', '580', '446', '330', '179']
['280', '741', '607', '263', '663']
['740', '245', '299', '593', '754']
['904', '485', '288', '511', '862']
['991', '258', '107', '396', '827']
['647', '272', '657', '419', '798']
['704', '148', '981', '437', '44']
['676', '53', '304', '527', '696']
['945', '628', '775', '389', '154']
['91', '973', '175', '808', '180']
['271', '756', '965', '820', '493']
['395', '629', '692', '492', '327']
['478', '323', '35', '244', '306']
['751', '254', '689', '884', '17']
['720', '195', '595', '626', '374']
['24', '812', '964', '109', '167']
['517', '730', '85', '321', '917']
['895', '653', '369', '659', '590']
