['883', '819', '827', '822', '905', '804', '906', '811', '820', '904', '903', '222']
['863', '808', '861', '854', '860', '840', '841', '874', '810', '871', '807', '855']
['898', '893', '908', '865', '909', '866', '887', '892', '888', '895', '911', '864']
['494', '516', '493', '523', '531', '537', '539', '492', '521', '536', '526', '405']
['573', '489', '572', '530', '565', '602', '481', '609', '480', '514', '566', '482']
['518', '524', '520', '604', '517', '525', '519', '527', '605', '522', '504', '511']
['792', '815', '793', '916', '922', '917', '894', '826', '821', '823', '891', '889']
['931', '799', '924', '788', '902', '901', '802', '791', '789', '925', '929', '934']
['833', '838', '933', '813', '806', '926', '890', '832', '834', '831', '897', '805']
['848', '878', '885', '899', '843', '877', '849', '876', '896', '851', '884', '842']
['845', '910', '923', '921', '844', '915', '846', '907', '812', '918', '920', '900']
['1', '34', '29', '31', '21', '131', '126', '134', '20', '124', '133', '123']
['100', '23', '15', '7', '18', '102', '101', '10', '0', '201', '200', '194']
['95', '143', '87', '16', '79', '140', '141', '120', '17', '72', '90', '354']
['65', '138', '135', '228', '203', '229', '235', '249', '248', '251', '238', '195']
['237', '265', '266', '234', '239', '236', '161', '230', '231', '273', '183', '352']
['233', '309', '303', '288', '306', '295', '211', '298', '311', '308', '232', '304']
['158', '290', '157', '177', '163', '156', '166', '256', '176', '289', '179', '35']
['247', '242', '255', '186', '184', '274', '263', '190', '258', '241', '269', '185']
['287', '209', '187', '282', '214', '181', '208', '285', '271', '180', '279', '264']
['104', '105', '51', '54', '86', '53', '115', '85', '84', '107', '118', '52']
['117', '108', '152', '99', '155', '132', '137', '153', '139', '142', '110', '109']
['150', '25', '148', '82', '76', '47', '55', '24', '58', '77', '44', '147']
['103', '73', '130', '96', '42', '119', '106', '40', '74', '98', '97', '125']
['50', '39', '66', '93', '49', '127', '149', '64', '48', '116', '92', '63']
['36', '45', '59', '129', '2', '128', '9', '121', '57', '122', '56', '154']
['37', '75', '80', '81', '4', '60', '70', '38', '5', '78', '67', '83']
['62', '61', '33', '26', '32', '27', '94', '91', '69', '28', '68', '30']
['6', '89', '88', '22', '145', '144', '11', '151', '3', '8', '146', '71']
['43', '13', '114', '112', '111', '12', '14', '113', '46', '136', '19', '41']
['320', '463', '434', '441', '323', '440', '387', '466', '433', '456', '321', '280']
['455', '406', '376', '439', '452', '399', '402', '447', '432', '401', '442', '400']
['347', '341', '339', '396', '397', '344', '398', '403', '430', '340', '425', '342']
['353', '423', '326', '415', '325', '408', '426', '358', '431', '331', '324', '424']
['414', '409', '418', '410', '412', '411', '416', '453', '417', '419', '413', '284']
['314', '372', '313', '373', '357', '392', '381', '374', '350', '393', '356', '395']
['338', '438', '343', '359', '337', '346', '370', '365', '436', '351', '437', '336']
['457', '459', '462', '465', '345', '458', '467', '389', '422', '464', '334', '240']
['378', '375', '461', '380', '460', '386', '360', '383', '428', '367', '429', '327']
['329', '407', '328', '404', '391', '369', '330', '385', '362', '384', '394', '361']
['250', '223', '245', '218', '160', '246', '244', '217', '162', '216', '243', '579']
['297', '261', '193', '293', '215', '210', '207', '192', '260', '254', '226', '296']
['315', '382', '368', '379', '348', '448', '450', '377', '316', '371', '318', '349']
['435', '322', '312', '332', '446', '444', '445', '333', '335', '317', '319', '657']
['364', '421', '390', '363', '443', '451', '388', '366', '420', '427', '454', '449']
['302', '171', '189', '262', '173', '224', '178', '172', '225', '257', '301', '182']
['159', '212', '307', '205', '204', '170', '227', '213', '300', '167', '206', '749']
['197', '199', '175', '292', '188', '268', '168', '202', '169', '270', '191', '790']
['275', '198', '196', '253', '259', '281', '252', '286', '219', '164', '267', '272']
['283', '276', '221', '165', '220', '310', '277', '299', '291', '294', '278', '305']
